metrica,bloque,columna,minimo,maximo,promedio,M
1. MAE  (L^1),train,mae_f,0.697555874601252,0.9924292286101132,0.8401167184085481,1
1. MAE  (L^1),test,mae_f,0.7722032898552952,1.0759747849470247,0.8784417083326066,1
2. RMSE (L^2),train,rmse_f,0.8696923097790831,1.243752277209283,1.049933351728446,1
2. RMSE (L^2),test,rmse_f,0.960703845320342,1.3351791119322562,1.0896118231247396,1
3. E_max promedio por curva,train,linf_medio,1.7310755646072977,2.3782867378658596,2.0160546401095463,1
3. E_max promedio por curva,test,linf_medio,1.8074419317495778,2.422826170391656,2.054735168534833,1
4. E_max peor de la ventana,train,linf_max,2.316310472748674,4.396944179647927,3.2376532546287815,1
4. E_max peor de la ventana,test,linf_max,2.552991845161843,3.9667088962304744,3.178522116865287,1
5. MPIW,train,mpiw,1.7843972951729903,1.858571395126328,1.8210460498975294,1
5. MPIW,test,mpiw,1.77974405040879,1.8389685648246141,1.8156496194801481,1
6. PICP puntual,train,picp,0.492,0.69,0.5984876543209877,1
6. PICP puntual,test,picp,0.484,0.6546666666666666,0.5760361990950227,1
7. PICPB curva completa,train,picp_simultaneo,0.0,0.05,0.00027777777777777783,1
7. PICPB curva completa,test,picp_simultaneo,0.0,0.05,0.00904977375565611,1
8. Winkler,train,winkler,7.456717590783827,15.566439296939322,11.668421512883135,1
8. Winkler,test,winkler,9.592778640894979,18.719255102219353,12.7371749998615,1
9. Winkler max promedio,train,winkler_max_medio,41.17249480942239,64.50618220424124,51.93179680639444,1
9. Winkler max promedio,test,winkler_max_medio,42.34784933886592,65.56516182347517,54.84353065143477,1
10. Winkler max peor ventana,train,winkler_max_glob,73.35629741820121,143.54275801638053,103.16064434340679,1
10. Winkler max peor ventana,test,winkler_max_glob,76.1298177256472,142.63109126831154,100.4382181860813,1
1. MAE  (L^1),train,mae_f,0.6966003421098536,0.9681333672251478,0.8171091425091644,2
1. MAE  (L^1),test,mae_f,0.7618675225325872,0.9817039267295339,0.8506622389323311,2
2. RMSE (L^2),train,rmse_f,0.8817609337615016,1.1829620972067245,1.0232029626577916,2
2. RMSE (L^2),test,rmse_f,0.963461763592681,1.2128643672236599,1.0554278587437835,2
3. E_max promedio por curva,train,linf_medio,1.7141324647727694,2.2871113899225377,1.9657917423706042,2
3. E_max promedio por curva,test,linf_medio,1.8181106956361117,2.267656902510569,2.015722017248736,2
4. E_max peor de la ventana,train,linf_max,2.3819380371367456,4.040354467787294,3.1208172389188653,2
4. E_max peor de la ventana,test,linf_max,2.56686823871159,4.009499825968223,3.1278513300615463,2
5. MPIW,train,mpiw,2.4892830608537753,2.570779259082573,2.522975027069931,2
5. MPIW,test,mpiw,2.502822791805756,2.57779716417439,2.525950646950175,2
